Cement,Pumice,SilicaFume,Powder,W/P,SP,CA/FA,Type,Strength
617.5,32.5,0,650,0.38,1.133603239,7.26E-07,1,79.1
585,65,0,650,0.38,1.196581197,7.29E-07,1,83.4
552.5,97.5,0,650,0.4,1.266968326,7.52E-07,1,88.7
520,130,0,650,0.42,1.346153846,7.76E-07,1,86.8
487.5,162.5,0,650,0.42,1.435897436,7.80E-07,1,76.7
455,195,0,650,0.42,1.538461538,7.84E-07,1,70.7
422.5,227.5,0,650,0.42,1.656804734,7.89E-07,1,60.4
388,0,0,388,0.399484536,0.31443299,1.220779221,1,50.3
330,58,0,388,0.399484536,0.303030303,1.221204188,1,51.4
450,0,0,450,0.5,0,0,1,46.986
427.5,22.5,0,450,0.502222222,0,0,1,47.396
400,50,0,450,0.504444444,0,0,1,50.102
382.5,67.5,0,450,0.506666667,0,0,1,49.364
360,90,0,450,0.508888889,0,0,1,46.74
400,0,0,500,0.45,0.8,0.566698202,2,39.1
360,40,0,500,0.5,0.9,0.566698202,2,38.6
320,80,0,500,0.5625,0.9,0.566698202,2,37.2
280,120,0,500,0.642857143,1,0.566698202,2,35.8
420,0,0,520,0.45,0.8,0.566698202,2,39.2
357,63,0,520,0.529411765,0.9,0.566253575,2,29.5
420,0,0,520,0.48,0.8,0.570736434,2,48.1
357,63,0,520,0.564705882,1.1,0.570736434,2,36.5
350,0,0,350,0.514,0.5,0.786096257,2,37.6
332.5,17.5,0,350,0.514,0.5,0.786096257,2,35.2
315,35,0,350,0.514,0.6,0.786096257,2,35.1
297.5,52.5,0,350,0.514,0.7,0.786096257,2,33.8
280,70,0,350,0.514,0.7,0.786096257,2,32
262.5,87.5,0,350,0.514,0.75,0.786096257,2,29.3
350,46.7,0,396.7,0.514,0.5,0.827423168,2,37.7
350,93.5,0,443.5,0.514,0.5,0.873440285,2,36.8
350,140.25,0,490.25,0.514,0.5,0.924819126,2,36.6
350,187,0,537,0.514,0.5,0.982620321,2,36.2
350,233.75,0,583.75,0.514,0.5,1.048128342,2,35.3
400,0,0,400,0.35,0,0.991489362,2,56.5
360,40,0,400,0.35,0,0.994652406,2,58.5
320,80,0,400,0.35,0,0.994623656,2,43.3
280,120,0,400,0.35,0,0.99137931,2,31.2
500,0,0,500,0.36,0.65,0.680008065,2,34.7
450,50,0,500,0.36,0.722222222,0.680175135,2,35.2
400,100,0,500,0.36,0.8125,0.679925994,2,34.5
350,150,0,500,0.36,0.928571429,0.680267215,2,32.2
300,200,0,500,0.36,1.083333333,0.680041365,2,31.6
500,0,0,500,0.4,0.46,0.680008317,2,35
450,50,0,500,0.4,0.511111111,0.680180653,2,33.2
400,100,0,500,0.4,0.575,0.679817584,2,31.8
350,150,0,500,0.4,0.657142857,0.680059366,2,30.1
300,200,0,500,0.4,0.766666667,0.680076833,2,28.4
400,0,0,457,0.271334792,1.5,0.645217391,2,64.1
380,20,0,457,0.257768053,2.105263158,0.64465682,2,70.6
360,40,0,457,0.244201313,2.222222222,0.644097222,2,61.4
340,60,0,457,0.230634573,2.823529412,0.643538595,2,60.4
320,80,0,457,0.217067834,3,0.642980936,2,51.3
385,165,0,550,0.4,1.038961039,0.795454545,2,35.2
